El Juicio,Lucia Saez,000000,Cuento
La Aventura,Alvaro Picazo,000001,Fábula
El Negocio,Isabel Lopez,000002,Ficción
El Bloque,Raul Fernandez,000003,Ficción
Thoth,Antonio Alarcon,000004,Cuento
Harmonía,Ruben Lopez,000005,Cuento
El Sapote,Alfonso Martinez,000006,Fábula
The Vagrant,Julian Romero,000007,Comic
El Coloso,Adrian Picazo,000008,Educación
The Imp,Amparo Martinez,000009,Ilsutrado
El Emperador,Angela Alarcon,000010,Comedia
El Ermitaño,Maria Molina,000011,Educación
La Estrella,Beatriz Ortiz,000012,Ficción
Los Sapos,Angela Torres,000013,Fábula
El Ahorcado,Jorge Torres,000014,Comedia
La máquina,Ruben Fernandez,000015,Cuento
La Verdad,Emilio Ortega,000016,Romántico
Los Enamorados,Mario Requena,000017,Cuento
Templanza,Pascual Gonzalez,000018,Cuento
Fuerza,Carlos Castillo,000019,Ilsutrado
La Aventura,Juan Cano,000020,Romántico
La máquina,Elena Rubio,000021,Romántico
La Golosa,Andrea Hernandez,000022,Comedia
La Estrella,Angela Diaz,000023,Fábula
El Juicio,Angela Ortega,000024,Ilsutrado
El Sapote,Maria Lopez,000025,Ilsutrado
Truth,Mercedes Morcillo,000026,Comedia
Los Sapos,Andrea Rodenas,000027,Ficción
Nejbet,Laura Cebrian,000028,Fábula
El Hierofante,Carlos Cano,000029,Comic
El Canario,Julian Jimenez,000030,Educación
La Nuez Dulce,Alvaro Martinez,000031,Educación
Amón,Manuel Serrano,000032,Romántico
El Milenio,Andres Arenas,000033,Romántico
Las Flores,Julian Garcia,000034,Ficción
The Wyrm,Sergio Garrido,000035,Comic
Los Sapos,Carmen Rodriguez,000036,Ilsutrado
La Luna,Santiago Cano,000037,Ilsutrado
Horus,Pilar Garrido,000038,Romántico
The Wyvern,Miguel Cuenca,000039,Fábula
La Estrella,Carlos Ramirez,000040,Comic
Truth,Juana Requena,000041,Comedia
Los Lirios,Ramon Requena,000042,Cuento
Ra,Ivan Tovar,000043,Comedia
The Deliverance,Jesus Castillo,000044,Ficción
Los Gozos,Ramon Castillo,000045,Cuento
The Warriors,Luis Rodenas,000046,Cuento
La Nuez Dulce,Santiago Moreno,000047,Romántico
Las Nueces,Pablo Alfaro,000048,Ilsutrado
